########################### min_rats = 5:

k = 384, l_b = 1000,  l_f =  1.00, beta = 0.1,   results: counter =   4, max_norm_diff =   21.59, valid_rmse = 1.763365, valid_ndcg = 0.013704
k = 384, l_b = 10000, l_f =  1.00, beta = 0.1,   results: counter =   4, max_norm_diff =   21.71, valid_rmse = 1.764450, valid_ndcg = 0.013805
k = 384, l_b = 100000,l_f =  1.00, beta = 0.1,   results: counter =   4, max_norm_diff =   21.72, valid_rmse = 1.764579, valid_ndcg = 0.013806

k = 384, l_b =  1,    l_f = 10.00, beta = 0.1,   results: counter =   7, max_norm_diff =    3.24, valid_rmse = 1.627198, valid_ndcg = 0.003738
k = 384, l_b = 10,    l_f = 10.00, beta = 0.1,   results: counter =   4, max_norm_diff =    7.39, valid_rmse = 1.624628, valid_ndcg = 0.010817
k = 384, l_b = 100,   l_f = 10.00, beta = 0.1,   results: counter =   3, max_norm_diff =   13.84, valid_rmse = 1.734831, valid_ndcg = 0.016895
k = 384, l_b = 1000,  l_f = 10.00, beta = 0.1,   results: counter =   2, max_norm_diff =   32.46, valid_rmse = 1.779021, valid_ndcg = 0.018698
k = 384, l_b = 10000, l_f = 10.00, beta = 0.1,   results: counter =   2, max_norm_diff =   32.92, valid_rmse = 1.784462, valid_ndcg = 0.019064
k = 384, l_b = 100000,l_f = 10.00, beta = 0.1,   results: counter =   2, max_norm_diff =   32.96, valid_rmse = 1.785001, valid_ndcg = 0.019043

k = 384, l_b = 10000, l_f = 100.00, beta = 0.1,  results: counter =   1, max_norm_diff =  922.88, valid_rmse = 1.805439, valid_ndcg = 0.010852

k = 384, l_b = 10000, l_f =  9.00, beta = 0.1,   results: counter =   2, max_norm_diff =   35.65, valid_rmse = 1.782170, valid_ndcg = 0.018817
k = 384, l_b = 10000, l_f = 10.00, beta = 0.1,   results: counter =   2, max_norm_diff =   32.92, valid_rmse = 1.784462, valid_ndcg = 0.019064
k = 384, l_b = 10000, l_f = 11.00, beta = 0.1,   results: counter =   2, max_norm_diff =   30.94, valid_rmse = 1.786641, valid_ndcg = 0.019150
k = 384, l_b = 10000, l_f = 12.00, beta = 0.1,   results: counter =   2, max_norm_diff =   29.59, valid_rmse = 1.788672, valid_ndcg = 0.018684
k = 384, l_b = 10000, l_f = 15.00, beta = 0.1,   results: counter =   2, max_norm_diff =   28.17, valid_rmse = 1.793758, valid_ndcg = 0.017518

-------------------------------------------------------------------------------------------------------------------------------------------------
k = 384, l_b =  1,    l_f =  0.10, beta = 0.2,   results: counter =  20, max_norm_diff =    7.97, valid_rmse = 1.706472, valid_ndcg = 0.008175
k = 384, l_b = 10,    l_f =  0.10, beta = 0.2,   results: counter =  16, max_norm_diff =    7.40, valid_rmse = 1.760368, valid_ndcg = 0.010892
k = 384, l_b = 100,   l_f =  0.10, beta = 0.2,   results: counter =   4, max_norm_diff =   43.50, valid_rmse = 1.779830, valid_ndcg = 0.011864
k = 384, l_b = 1000,  l_f =  0.10, beta = 0.2,   results: counter =   6, max_norm_diff =   26.57, valid_rmse = 1.778971, valid_ndcg = 0.012020
k = 384, l_b = 10000, l_f =  0.10, beta = 0.2,   results: counter =   6, max_norm_diff =   26.62, valid_rmse = 1.779608, valid_ndcg = 0.012097

k = 384, l_b =  1,    l_f =  1.00, beta = 0.2,   results: counter =  10, max_norm_diff =    7.58, valid_rmse = 1.616353, valid_ndcg = 0.007173
k = 384, l_b = 10,    l_f =  1.00, beta = 0.2,   results: counter =   8, max_norm_diff =    9.27, valid_rmse = 1.706877, valid_ndcg = 0.012453
k = 384, l_b = 100,   l_f =  1.00, beta = 0.2,   results: counter =   7, max_norm_diff =   10.34, valid_rmse = 1.743047, valid_ndcg = 0.013701
k = 384, l_b = 1000,  l_f =  1.00, beta = 0.2,   results: counter =   4, max_norm_diff =   21.59, valid_rmse = 1.763365, valid_ndcg = 0.013730
k = 384, l_b = 10000, l_f =  1.00, beta = 0.2,   results: counter =   4, max_norm_diff =   21.71, valid_rmse = 1.764450, valid_ndcg = 0.013805

k = 384, l_b =  1,    l_f = 10.00, beta = 0.2,   results: counter =  14, max_norm_diff =    1.18, valid_rmse = 1.627156, valid_ndcg = 0.002063
k = 384, l_b = 10,    l_f = 10.00, beta = 0.2,   results: counter =   4, max_norm_diff =    7.39, valid_rmse = 1.624628, valid_ndcg = 0.009239
k = 384, l_b = 100,   l_f = 10.00, beta = 0.2,   results: counter =   3, max_norm_diff =   13.84, valid_rmse = 1.734831, valid_ndcg = 0.016271
k = 384, l_b = 1000,  l_f = 10.00, beta = 0.2,   results: counter =   2, max_norm_diff =   32.46, valid_rmse = 1.779021, valid_ndcg = 0.018778
k = 384, l_b = 10000, l_f = 10.00, beta = 0.2,   results: counter =   2, max_norm_diff =   32.92, valid_rmse = 1.784462, valid_ndcg = 0.018990







# beta = 0.5
k = 384, l_b =  2.40, l_f =  9.50, beta = 0.5, results: counter =  11, max_norm_diff =    1.82, valid_rmse = 1.601207, valid_ndcg = 0.001644
k = 384, l_b =  2.60, l_f =  9.50, beta = 0.5, results: counter =  12, max_norm_diff =    1.61, valid_rmse = 1.600098, valid_ndcg = 0.001673
k = 384, l_b =  2.80, l_f =  9.50, beta = 0.5, results: counter =  13, max_norm_diff =    1.44, valid_rmse = 1.599313, valid_ndcg = 0.001899
k = 384, l_b =  3.00, l_f =  9.50, beta = 0.5, results: counter =   9, max_norm_diff =    2.43, valid_rmse = 1.598874, valid_ndcg = 0.001926
k = 384, l_b =  3.20, l_f =  9.50, beta = 0.5, results: counter =  16, max_norm_diff =    1.05, valid_rmse = 1.598515, valid_ndcg = 0.002080
k = 384, l_b =  3.40, l_f =  9.50, beta = 0.5, results: counter =   9, max_norm_diff =    2.44, valid_rmse = 1.598512, valid_ndcg = 0.002061
k = 384, l_b =  3.60, l_f =  9.50, beta = 0.5, results: counter =  14, max_norm_diff =    1.30, valid_rmse = 1.598526, valid_ndcg = 0.002330

k = 384, l_b =  3.00, l_f =  8.50, beta = 0.5, results: counter =  10, max_norm_diff =    2.39, valid_rmse = 1.598641, valid_ndcg = 0.002385
k = 384, l_b =  3.00, l_f =  9.00, beta = 0.5, results: counter =   8, max_norm_diff =    3.05, valid_rmse = 1.598757, valid_ndcg = 0.002064
k = 384, l_b =  3.00, l_f =  9.50, beta = 0.5, results: counter =   9, max_norm_diff =    2.43, valid_rmse = 1.598874, valid_ndcg = 0.001926
k = 384, l_b =  3.00, l_f = 10.00, beta = 0.5, results: counter =  10, max_norm_diff =    1.97, valid_rmse = 1.599005, valid_ndcg = 0.001870
k = 384, l_b =  3.00, l_f = 10.50, beta = 0.5, results: counter =  11, max_norm_diff =    1.61, valid_rmse = 1.599151, valid_ndcg = 0.001730
k = 384, l_b =  3.00, l_f = 11.00, beta = 0.5, results: counter =  14, max_norm_diff =    1.06, valid_rmse = 1.599262, valid_ndcg = 0.001603
k = 384, l_b =  3.00, l_f = 11.50, beta = 0.5, results: counter =  17, max_norm_diff =    0.74, valid_rmse = 1.599408, valid_ndcg = 0.001555

# beta = 0.2
k = 384, l_b =  2.40, l_f =  9.50, beta = 0.2, results: counter =  10, max_norm_diff =    2.09, valid_rmse = 1.601222, valid_ndcg = 0.003807
k = 384, l_b =  2.60, l_f =  9.50, beta = 0.2, results: counter =  11, max_norm_diff =    1.83, valid_rmse = 1.600111, valid_ndcg = 0.004095
k = 384, l_b =  2.80, l_f =  9.50, beta = 0.2, results: counter =  11, max_norm_diff =    1.83, valid_rmse = 1.599336, valid_ndcg = 0.004200
k = 384, l_b =  3.00, l_f =  9.50, beta = 0.2, results: counter =   6, max_norm_diff =    4.26, valid_rmse = 1.599070, valid_ndcg = 0.004282
k = 384, l_b =  3.20, l_f =  9.50, beta = 0.2, results: counter =   6, max_norm_diff =    4.26, valid_rmse = 1.598796, valid_ndcg = 0.004396
k = 384, l_b =  3.40, l_f =  9.50, beta = 0.2, results: counter =   8, max_norm_diff =    2.87, valid_rmse = 1.598552, valid_ndcg = 0.004551
k = 384, l_b =  3.60, l_f =  9.50, beta = 0.2, results: counter =  10, max_norm_diff =    2.11, valid_rmse = 1.598567, valid_ndcg = 0.004770

k = 384, l_b =  3.00, l_f =  8.50, beta = 0.2, results: counter =   8, max_norm_diff =    3.25, valid_rmse = 1.598637, valid_ndcg = 0.005158
k = 384, l_b =  3.00, l_f =  9.00, beta = 0.2, results: counter =   7, max_norm_diff =    3.66, valid_rmse = 1.598799, valid_ndcg = 0.004639
k = 384, l_b =  3.00, l_f =  9.50, beta = 0.2, results: counter =   6, max_norm_diff =    4.26, valid_rmse = 1.599070, valid_ndcg = 0.004282
k = 384, l_b =  3.00, l_f = 10.00, beta = 0.2, results: counter =  10, max_norm_diff =    1.97, valid_rmse = 1.599005, valid_ndcg = 0.004073
k = 384, l_b =  3.00, l_f = 10.50, beta = 0.2, results: counter =   9, max_norm_diff =    2.14, valid_rmse = 1.599230, valid_ndcg = 0.003828
k = 384, l_b =  3.00, l_f = 11.00, beta = 0.2, results: counter =  10, max_norm_diff =    1.73, valid_rmse = 1.599379, valid_ndcg = 0.003486
k = 384, l_b =  3.00, l_f = 11.50, beta = 0.2, results: counter =   9, max_norm_diff =    1.88, valid_rmse = 1.599636, valid_ndcg = 0.003049

# beta = 0.1
k = 384, l_b =  2.40, l_f =  9.50, beta = 0.1, results: counter =   5, max_norm_diff =    5.57, valid_rmse = 1.601615, valid_ndcg = 0.005721
k = 384, l_b =  2.60, l_f =  9.50, beta = 0.1, results: counter =   5, max_norm_diff =    5.56, valid_rmse = 1.600525, valid_ndcg = 0.005874
k = 384, l_b =  2.80, l_f =  9.50, beta = 0.1, results: counter =   7, max_norm_diff =    3.44, valid_rmse = 1.599470, valid_ndcg = 0.006046
k = 384, l_b =  3.00, l_f =  9.50, beta = 0.1, results: counter =   6, max_norm_diff =    4.26, valid_rmse = 1.599070, valid_ndcg = 0.006471
k = 384, l_b =  3.20, l_f =  9.50, beta = 0.1, results: counter =   6, max_norm_diff =    4.26, valid_rmse = 1.598796, valid_ndcg = 0.006594
k = 384, l_b =  3.40, l_f =  9.50, beta = 0.1, results: counter =   4, max_norm_diff =    7.93, valid_rmse = 1.599323, valid_ndcg = 0.006813
k = 384, l_b =  3.60, l_f =  9.50, beta = 0.1, results: counter =   3, max_norm_diff =   14.53, valid_rmse = 1.601248, valid_ndcg = 0.007156
k = 384, l_b =  4.00, l_f =  9.50, beta = 0.1, results: counter =   3, max_norm_diff =   14.35, valid_rmse = 1.601543, valid_ndcg = 0.007764
k = 384, l_b =  4.50, l_f =  9.50, beta = 0.1, results: counter =   3, max_norm_diff =   14.16, valid_rmse = 1.602533, valid_ndcg = 0.008314
k = 384, l_b =  5.00, l_f =  9.50, beta = 0.1, results: counter =   3, max_norm_diff =   14.00, valid_rmse = 1.603998, valid_ndcg = 0.008580
k = 384, l_b =  6.00, l_f =  9.50, beta = 0.1, results: counter =   4, max_norm_diff =    7.79, valid_rmse = 1.606795, valid_ndcg = 0.009285
k = 384, l_b =  7.00, l_f =  9.50, beta = 0.1, results: counter =   3, max_norm_diff =   13.55, valid_rmse = 1.612068, valid_ndcg = 0.009929
k = 384, l_b =  9.00, l_f =  9.50, beta = 0.1, results: counter =   3, max_norm_diff =   13.29, valid_rmse = 1.621054, valid_ndcg = 0.010735
k = 384, l_b = 12.00, l_f =  9.50, beta = 0.1, results: counter =   5, max_norm_diff =    5.69, valid_rmse = 1.633437, valid_ndcg = 0.011127
k = 384, l_b = 15.00, l_f =  9.50, beta = 0.1, results: counter =   4, max_norm_diff =    7.92, valid_rmse = 1.644767, valid_ndcg = 0.011480
k = 384, l_b = 20.00, l_f =  9.50, beta = 0.1, results: counter =   5, max_norm_diff =    5.92, valid_rmse = 1.660271, valid_ndcg = 0.012277
k = 384, l_b = 100.0, l_f =  9.50, beta = 0.1, results: counter =   3, max_norm_diff =   14.48, valid_rmse = 1.734562, valid_ndcg = 0.016737
k = 384, l_b = 1000,  l_f =  9.50, beta = 0.1, results: counter =   2, max_norm_diff =   33.74, valid_rmse = 1.777998, valid_ndcg = 0.018776
k = 384, l_b = 10000, l_f =  9.50, beta = 0.1, results: counter =   2, max_norm_diff =   34.18, valid_rmse = 1.783327, valid_ndcg = 0.019005
k = 384, l_b = 100000000, l_f =9.50, beta=0.1, results: counter =   2, max_norm_diff =   34.23, valid_rmse = 1.783912, valid_ndcg = 0.019013


